iRECORD_ID,iCIK,iCUSIP,iPERIOD_END,iFILING_DATE,iAMEND,iRESTATEMENT,iTYPE,iQTY,iMARKET_VALUE,iLONG_FRACTION
4443956,0001044330,594918104,1999-12-31,2000-01-03,0,0,0,114931,10424,0.030083
4443957,0001044330,358010106,1999-12-31,2000-01-03,0,0,0,11950,123,0.00035497
4443958,0001044330,038222105,1999-12-31,2000-01-03,0,0,0,22811,2727,0.00786995
4443959,0001044330,166751107,1999-12-31,2000-01-03,0,0,0,54018,2605,0.00751786
4443960,0001044330,867914103,1999-12-31,2000-01-03,0,0,0,6150,333,0.000961017
4443961,0001044330,611662107,1999-12-31,2000-01-03,0,0,0,48711,1327,0.00382964
4443962,0001044330,580135101,1999-12-31,2000-01-03,0,0,0,13900,171,0.000493495
4443963,0001044330,030954101,1999-12-31,2000-01-03,0,0,0,3200,218,0.000629134
4443964,0001044330,055622104,1999-12-31,2000-01-03,0,0,0,116424,3257,0.00939949
4443965,0001044330,482991577,1999-12-31,2000-01-03,0,0,0,1300,247,0.000712826
4443966,0001044330,200300200,1999-12-31,2000-01-03,0,0,0,45780,2250,0.00649336
4443967,0001044330,048825103,1999-12-31,2000-01-03,0,0,0,6750,255,0.000735914
4443968,0001044330,535678106,1999-12-31,2000-01-03,0,0,0,23719,1660,0.00479065
4443969,0001044330,866810104,1999-12-31,2000-01-03,0,0,0,70738,5324,0.0153647
4443970,0001044330,585055106,1999-12-31,2000-01-03,0,0,0,81859,2443,0.00705034
4443971,0001044330,204493100,1999-12-31,2000-01-03,0,0,0,7520,146,0.000421347
4443972,0001044330,459200101,1999-12-31,2000-01-03,0,0,0,36804,1909,0.00550925
4443973,0001044330,69332S102,1999-12-31,2000-01-03,0,0,0,39036,4471,0.012903
4443974,0001044330,412822108,1999-12-31,2000-01-03,0,0,0,27860,1746,0.00503884
4443975,0001044330,950810101,1999-12-31,2000-01-03,0,0,0,42417,602,0.00173733
4443976,0001044330,12612L108,1999-12-31,2000-01-03,0,0,0,22634,294,0.000848465
4443977,0001044330,654902204,1999-12-31,2000-01-03,0,0,0,20944,3917,0.0113042
4443978,0001044330,00371T206,1999-12-31,2000-01-03,0,0,0,13600,269,0.000776317
4443979,0001044330,204912109,1999-12-31,2000-01-03,0,0,0,4700,279,0.000805176
4443980,0001044330,549463107,1999-12-31,2000-01-03,0,0,0,161989,7935,0.0228999
4443981,0001044330,896047107,1999-12-31,2000-01-03,0,0,0,20200,1112,0.00320916
4443982,0001044330,017361106,1999-12-31,2000-01-03,0,0,0,16240,330,0.000952359
4443983,0001044330,313586109,1999-12-31,2000-01-03,0,0,0,40070,2144,0.00618745
4443984,0001044330,025816109,1999-12-31,2000-01-03,0,0,0,3389,280,0.000808062
4443985,0001044330,909907107,1999-12-31,2000-01-03,0,0,0,2324170,47167,0.136121
4443986,0001044330,993001502,1999-12-31,2000-01-03,0,0,0,490,374,0.00107934
4443987,0001044330,260543103,1999-12-31,2000-01-03,0,0,0,11516,862,0.00248768
4443988,0001044330,443510201,1999-12-31,2000-01-03,0,0,0,307545,8380,0.0241841
4443989,0001044330,742718109,1999-12-31,2000-01-03,0,0,0,92104,3833,0.0110618
4443990,0001044330,025537101,1999-12-31,2000-01-03,0,0,0,21955,417,0.00120344
4443991,0001044330,887315109,1999-12-31,2000-01-03,0,0,0,44605,3060,0.00883096
4443992,0001044330,954991576,1999-12-31,2000-01-03,0,0,0,307,485,0.00139968
4443993,0001044330,00651FAC2,1999-12-31,2000-01-03,0,0,1,615000,668,0.00192781
4443994,0001044330,806605101,1999-12-31,2000-01-03,0,0,0,53236,993,0.00286573
4443995,0001044330,254687106,1999-12-31,2000-01-03,0,0,0,72814,1478,0.00426541
4443996,0001044330,064057102,1999-12-31,2000-01-03,0,0,0,16640,569,0.0016421
4443997,0001044330,59021C203,1999-12-31,2000-01-03,0,0,0,9600,4,0.0000115437
4443998,0001044330,428236103,1999-12-31,2000-01-03,0,0,0,9196,721,0.00208076
4443999,0001044330,337358105,1999-12-31,2000-01-03,0,0,0,15346,336,0.000969675
4444000,0001044330,264399106,1999-12-31,2000-01-03,0,0,0,4539,128,0.0003694
4444001,0001044330,460335201,1999-12-31,2000-01-03,0,0,0,20890,1022,0.00294943
4444002,0001044330,097023105,1999-12-31,2000-01-03,0,0,0,5920,49,0.000141411
4444003,0001044330,931142103,1999-12-31,2000-01-03,0,0,0,15507,613,0.00176908
4444004,0001044330,655844108,1999-12-31,2000-01-03,0,0,0,16192,189,0.000545442
4444005,0001044330,478160104,1999-12-31,2000-01-03,0,0,0,29670,1493,0.0043087
4444006,0001044330,084670207,1999-12-31,2000-01-03,0,0,0,135,212,0.000611819
4444007,0001044330,17275R102,1999-12-31,2000-01-03,0,0,0,145759,13986,0.0403627
4444008,0001044330,302571104,1999-12-31,2000-01-03,0,0,0,9000,288,0.00083115
4444009,0001044330,02364J104,1999-12-31,2000-01-03,0,0,0,16248,726,0.00209519
4444010,0001044330,993001379,1999-12-31,2000-01-03,0,0,0,12562,0,0
4444011,0001044330,779991579,1999-12-31,2000-01-03,0,0,0,96,506,0.00146028
4444012,0001086755,008117103,1999-12-31,2000-01-11,0,0,0,6086,478,0.001539
4444013,0001086755,583062104,1999-12-31,2000-01-11,0,0,0,31810,387,0.00124601
4444014,0001086755,812387108,1999-12-31,2000-01-11,0,0,0,109940,4672,0.0150422
4444015,0001086755,345370100,1999-12-31,2000-01-11,0,0,0,72453,4252,0.01369
4444016,0001086755,20847D205,1999-12-31,2000-01-11,0,0,0,30000,746,0.00240186
4444017,0001086755,090945106,1999-12-31,2000-01-11,0,0,0,11450,139,0.000447532
4444018,0001086755,172737108,1999-12-31,2000-01-11,0,0,0,24147,1205,0.00387969
4444019,0001086755,204493100,1999-12-31,2000-01-11,0,0,0,168080,7059,0.0227276
4444020,0001086755,585055106,1999-12-31,2000-01-11,0,0,0,87450,6495,0.0209117
4444021,0001086755,244199105,1999-12-31,2000-01-11,0,0,0,40185,1321,0.00425317
4444022,0001086755,749927109,1999-12-31,2000-01-11,0,0,0,12500,43,0.000138445
4444023,0001086755,459200101,1999-12-31,2000-01-11,0,0,0,53585,9879,0.031807
4444024,0001086755,75086K104,1999-12-31,2000-01-11,0,0,0,60925,369,0.00118805
4444025,0001086755,44180R209,1999-12-31,2000-01-11,0,0,0,14000,355,0.00114298
4444026,0001086755,317923100,1999-12-31,2000-01-11,0,0,0,12400,99,0.000318746
4444027,0001086755,066050105,1999-12-31,2000-01-11,0,0,0,229124,13776,0.044354
4444028,0001086755,247025109,1999-12-31,2000-01-11,0,0,0,122645,8976,0.0288996
4444029,0001086755,084670108,1999-12-31,2000-01-11,0,0,0,5,350,0.00112688
4444030,0001086755,617446448,1999-12-31,2000-01-11,0,0,0,33554,2382,0.00766923
4444031,0001086755,910581107,1999-12-31,2000-01-11,0,0,0,19900,856,0.00275603
4444032,0001086755,549463107,1999-12-31,2000-01-11,0,0,0,181408,19943,0.0642096
4444033,0001086755,208464107,1999-12-31,2000-01-11,0,0,0,97420,2971,0.0095656
4444034,0001086755,171196108,1999-12-31,2000-01-11,0,0,0,131253,12608,0.0405934
4444035,0001086755,086516101,1999-12-31,2000-01-11,0,0,0,242259,14868,0.0478699
4444036,0001086755,17306K209,1999-12-31,2000-01-11,0,0,0,8000,203,0.000653591
4444037,0001086755,067774109,1999-12-31,2000-01-11,0,0,0,296075,12583,0.040513
4444038,0001086755,385269105,1999-12-31,2000-01-11,0,0,0,19500,157,0.000505486
4444039,0001086755,590188108,1999-12-31,2000-01-11,0,0,0,132800,8864,0.028539
4444040,0001086755,354613101,1999-12-31,2000-01-11,0,0,0,71800,2297,0.00739555
4444041,0001086755,866810104,1999-12-31,2000-01-11,0,0,0,194792,16679,0.0537007
4444042,0001086755,811845205,1999-12-31,2000-01-11,0,0,0,10000,251,0.000808134
4444043,0001086755,560321200,1999-12-31,2000-01-11,0,0,0,322731,3691,0.0118838
4444044,0001086755,589331107,1999-12-31,2000-01-11,0,0,0,16645,2455,0.00790426
4444045,0001086755,010392629,1999-12-31,2000-01-11,0,0,0,8000,200,0.000643932
4444046,0001086755,90332M200,1999-12-31,2000-01-11,0,0,0,8000,201,0.000647151
4444047,0001086755,594918104,1999-12-31,2000-01-11,0,0,0,103731,14386,0.046318
4444048,0001086755,931422109,1999-12-31,2000-01-11,0,0,0,165834,9711,0.0312661
4444049,0001086755,05563W206,1999-12-31,2000-01-11,0,0,0,8000,202,0.000650371
